Số báo danh,Toán,Văn,Ngoại Ngữ,Lý,Hoá,Sinh,Sử,Địa lý,GDCD
01000141,7,8,7.5,-1,-1,-1,7,7.6,7.5
01000142,6.6,8.25,5.25,-1,-1,-1,7.25,8,7.25
01000143,7.6,8.5,7.75,-1,-1,-1,7.25,7.6,8
01000144,4,6.75,-1,-1,-1,-1,2.5,6,-1
01000145,7.2,7.5,-1,-1,-1,-1,8.25,8.5,7
01000146,7.6,8.25,7,-1,-1,-1,8,7.6,8
01000147,6.4,7.5,4,7.25,4.75,6.75,-1,-1,-1
01000148,6.8,8.25,7,-1,-1,-1,7.5,9.2,7.5
01000149,5,8.25,8,-1,-1,-1,-1,-1,-1
01000150,5.8,6.25,-1,-1,-1,-1,4,6.5,-1
01000151,8.6,5.75,8.2,7.25,5.25,6,-1,-1,-1
01000152,9.2,7.75,5.25,-1,-1,-1,8.5,8.6,8.25
01000153,7.2,8.75,9,-1,-1,-1,7.75,6,9.25
01000154,7.6,8,8.5,-1,-1,-1,8,5.8,8.5
01000155,5,8.75,7.75,-1,-1,-1,8.25,8.4,8
01000156,8,8.5,8,-1,-1,-1,6.25,8.2,9.25
01000157,7.6,7.25,5.2,4.5,4.75,5,-1,-1,-1
01000158,6,6.5,5.25,-1,-1,-1,5.5,7.4,6.75
01000159,3.2,7,4.25,-1,-1,-1,5.5,4,7.25
01000160,7.4,8,5.5,-1,-1,-1,5.75,8.8,8
01000161,8.6,8.75,9,-1,-1,-1,7.5,8.6,8.75
01000162,2.6,6.25,3.75,-1,-1,-1,4,4.6,7.25
01000163,8,7,5,-1,-1,-1,6.5,6.8,7.25
01000164,6,7.75,9.75,-1,-1,-1,8,6.4,8.25
01000165,7.8,8.5,6,-1,-1,-1,6.75,9,8
01000166,6.8,7.25,-1,-1,-1,-1,6.25,6.25,-1
01000167,7.2,7,3.5,-1,-1,-1,6.75,6.4,7.25
01000168,7.8,8.5,8.5,-1,-1,-1,7.75,9.6,8.75
01000169,6.6,7.25,8.75,-1,-1,-1,7.75,8.6,8.5
01000170,7.4,7,8,-1,-1,-1,-1,-1,-1
01000171,7.6,7.5,8.25,-1,-1,-1,6.5,8.2,8.25
01000172,7.2,8.5,8,-1,-1,-1,7,7.8,8.25
01000173,8.2,7,8.8,6.5,5.25,7.25,-1,-1,-1
01000174,5.2,7.5,7.75,-1,-1,-1,8,5,8.75
01000175,6.2,8.5,7.75,-1,-1,-1,7.75,8.6,8
01000176,8.6,8.25,9.2,9.5,4.25,7.25,-1,-1,-1
01000177,8.2,8.25,8.5,-1,-1,-1,8,9.6,8.5
01000178,7,7,8,-1,-1,-1,7,8,8.5
01000179,7.4,6.5,8.75,-1,-1,-1,7,8.6,8.75
01000180,4.6,6,7.25,-1,-1,-1,6.75,3.2,9.25
01000181,5,7.25,6,-1,-1,-1,7,2.8,8
01000182,4,5,-1,-1,-1,-1,6,7.75,-1
01000183,8,8,7.6,4.75,3.25,5.75,-1,-1,-1
01000184,7,6.25,7.25,-1,-1,-1,6,6.6,8.25
01000185,9.6,8,9.2,9.5,5.25,7.75,-1,-1,-1
01000186,9,2.5,9.4,7.75,4.75,6.25,-1,-1,-1
01000187,7.4,7.75,7,-1,-1,-1,7.5,7.6,7.75
01000188,8,7.75,6.5,-1,-1,-1,8.5,6,7.75
01000189,8.6,8,5.5,-1,-1,-1,4,7,8.25
01000190,5.4,5.17,-1,-1,-1,-1,5.5,7.5,7.5
01000191,8.2,8.25,8,4.25,8,8,-1,-1,-1
01000192,8.2,7.75,8,-1,-1,-1,8.75,9.6,8.5
01000193,8,8.5,7,-1,-1,-1,5.5,7.4,8.25
01000194,8.8,7.75,7.8,5,8.75,7.75,-1,-1,-1
01000195,8.4,8.5,9.25,-1,-1,-1,8.5,7,9
01000196,7.6,9,6.5,-1,-1,-1,6.5,7.4,8
01000197,7.6,8,8.75,-1,-1,-1,7.75,9,8.75
01000198,5.4,6.5,8.5,-1,-1,-1,7,8.4,9
01000199,8.6,8.25,9,7.5,4.75,7.5,-1,-1,-1
01000200,7.6,6.25,8.4,7.5,4.25,6.25,-1,-1,-1
01000201,6.6,6.5,7.5,-1,-1,-1,6.75,6,8
01000202,8.4,8.5,8.25,-1,-1,-1,8.5,8.4,9.25
01000203,6.6,7.25,5,-1,-1,-1,6,4.8,6.75
01000204,7.4,7.5,7,-1,-1,-1,7.25,8,9.5
01000205,8.2,9,8.8,-1,-1,-1,-1,-1,-1
01000206,4.4,5,-1,-1,-1,-1,6.25,7.25,-1
01000207,7.8,8.5,5.25,-1,-1,-1,7,7.4,8
01000208,8.2,9,7.25,-1,-1,-1,9,7.6,9
01000209,7.2,8.25,6.5,-1,-1,-1,6.75,7.8,7.75
01000210,8,3.25,8,8.75,3.25,5.75,-1,-1,-1
01000211,8.4,8,8.2,3.25,8.75,6.25,-1,-1,-1
01000212,7.6,6.75,3.5,-1,-1,-1,7.25,3.6,8.5
01000213,7.2,8.75,8,-1,-1,-1,7.5,9.2,9
01000214,7.2,7.5,6.75,-1,-1,-1,7.5,6.8,7.75
01000215,7,7.5,5.25,-1,-1,-1,7.25,7.8,8
01000216,8.4,8.75,5.25,-1,-1,-1,5.5,9,7.5
01000217,9.4,8.5,7.25,-1,-1,-1,6.25,8.6,8.75
01000218,8.4,6,6.5,-1,-1,-1,8.75,9.4,8.5
01000219,7.6,8.25,7,-1,-1,-1,6.5,7.4,8.25
01000220,8,8,7,-1,-1,-1,6.75,9,7.75
01000221,7.8,7.75,9,8.75,6,6.5,-1,-1,-1
01000222,7,7,7,-1,-1,-1,6,6.8,7.5
01000223,6.6,8,8.25,-1,-1,-1,8,3.2,9
01000224,8.8,8.5,7.25,-1,-1,-1,5.5,9,6.75
01000225,7.8,8,6.5,-1,-1,-1,6.5,9.2,8.25
01000226,7.4,9.25,8.25,-1,-1,-1,7.75,9,9.5
01000227,2.8,7.75,7,-1,-1,-1,6,2.8,8.5
01000228,7.6,7.75,8.75,-1,-1,-1,6.5,9,9
01000229,7.2,5.75,8.2,8,3.25,6,-1,-1,-1
01000230,8,7.25,9,-1,-1,-1,7,8.2,8.75
01000231,2.6,5,-1,-1,-1,-1,5,3,-1
01000232,8,8,5,6.75,4.5,6.75,-1,-1,-1
01000233,3.4,6,-1,-1,-1,-1,6.25,5,-1
01000234,9.2,6.25,8.2,9.25,4.5,6.25,-1,-1,-1
01000235,8,7.5,6.75,-1,-1,-1,6.5,8.6,8.5
01000236,7.2,8.25,4.5,-1,-1,-1,6.5,6,7.25
01000237,7.6,6.5,7.25,-1,-1,-1,7,8,8.5
01000238,7.4,9,8.25,-1,-1,-1,7.5,6.6,9
01000239,7.8,7.25,8,-1,-1,-1,7.25,9.6,9
