Số báo danh,Toán,Văn,Ngoại Ngữ,Lý,Hoá,Sinh,Sử,Địa lý,GDCD
01061467,6,5.5,-1,-1,-1,-1,3.75,5.25,-1
01061468,3.4,6.25,-1,-1,-1,-1,6.5,5,-1
01061469,4,3.75,-1,-1,-1,-1,4.5,5,-1
01061470,6.4,5.5,-1,-1,-1,-1,7.5,6.75,-1
01061471,6.4,6.25,-1,-1,-1,-1,6,6.25,-1
01061472,4.2,5,-1,-1,-1,-1,5.25,5.75,-1
01061473,6.2,5.5,-1,-1,-1,-1,6,7,-1
01061474,6.2,5.75,-1,-1,-1,-1,4.75,7.25,-1
01061475,4.6,5.75,-1,-1,-1,-1,3.75,6.75,-1
01061476,6,8.5,-1,-1,-1,-1,8,7.5,-1
01061477,4.6,6,-1,-1,-1,-1,4.5,5.25,-1
01061478,2.6,7,-1,-1,-1,-1,5,4.25,-1
01061479,3.8,5.25,-1,-1,-1,-1,4.25,2.75,-1
01061480,6,5.5,-1,-1,-1,-1,3.75,4.75,-1
01061481,8.2,-1,6,-1,8.5,4,-1,-1,-1
01061482,7.6,7.5,7.6,-1,-1,-1,-1,-1,-1
01061483,3.4,5.25,-1,-1,-1,-1,3.75,4.5,-1
01061484,4,6.25,-1,-1,-1,-1,7.25,7.5,-1
01061485,5.4,6,-1,-1,-1,-1,7,4.75,-1
01061486,4.4,6.5,-1,-1,-1,-1,6.75,6.75,-1
01061487,4.2,5.75,-1,-1,-1,-1,3.25,5.75,-1
01061488,6.6,8.5,8.2,-1,-1,-1,-1,-1,-1
01061489,4.8,7,-1,-1,-1,-1,6.75,6.5,-1
01061490,3.8,5.25,-1,-1,-1,-1,4,5.5,-1
01061491,8.4,-1,-1,8.25,8.75,-1,-1,-1,-1
01061492,6.6,6,-1,-1,-1,-1,5.25,6,-1
01061493,8.4,6,-1,-1,-1,-1,8.75,8.25,-1
01061494,6.2,6.75,-1,-1,-1,-1,8,6.5,-1
01061495,5,8,-1,-1,-1,-1,4.5,5,-1
01061496,4,4.5,-1,-1,-1,-1,3.75,5.5,-1
01061497,5.2,-1,-1,6.5,7.5,-1,-1,-1,-1
01061498,7.4,6,-1,-1,-1,-1,5.75,8.25,-1
01061499,5.2,6.5,-1,-1,-1,-1,7.5,6.5,-1
01061500,4,5.5,-1,-1,-1,-1,4.75,5.5,-1
01061501,6.8,6.25,-1,-1,-1,-1,6.5,5.5,-1
01061502,2,4.5,-1,-1,-1,-1,3.75,5.5,-1
01061503,6.2,5.75,-1,-1,-1,-1,6.75,8,-1
01061504,4.4,6.25,-1,-1,-1,-1,6.25,5.5,-1
01061505,6.4,5,-1,-1,-1,-1,4,6.25,-1
01061506,3.4,4.5,-1,-1,-1,-1,2.25,5.25,-1
01061507,8.2,-1,-1,7.75,8.25,-1,-1,-1,-1
01061508,9,-1,-1,7,8,-1,-1,-1,-1
01061509,8.6,-1,-1,8.25,8.75,5.75,-1,-1,-1
01061510,8.4,-1,2,7.5,2.75,5.2,-1,-1,-1
01061511,7.8,-1,7.2,6.75,-1,-1,-1,-1,-1
01061512,8.2,7.25,8.4,-1,-1,-1,-1,-1,-1
01061513,8,7.25,6.8,-1,-1,-1,-1,-1,-1
01061514,7.4,-1,-1,5.25,7.5,-1,-1,-1,-1
01061515,9,4.75,4.4,4.5,5.25,7.5,-1,-1,-1
01061516,8,8.5,5.2,7.5,4.25,7.75,-1,-1,-1
01061517,6.2,8.25,-1,-1,-1,-1,9.25,9.25,9.75
01061518,8.2,8,5.4,6.75,4.5,6,-1,-1,-1
01061519,8.2,8,4.6,8,5,4.75,-1,-1,-1
01061520,8.8,8.5,4,9,4.75,5,-1,-1,-1
01061521,7.8,8,3.2,7.75,3.5,6,-1,-1,-1
01061522,8.6,9.25,4.4,8.5,4.5,6.75,-1,-1,-1
01061523,8.2,7.75,4,7.25,3.5,6.25,-1,-1,-1
01061524,8.4,7.75,2.6,6,8.5,6.5,-1,-1,-1
01061525,6.2,5,5.4,7,2.5,8,-1,-1,-1
01061526,9,5,8.6,6.75,3.25,6,-1,-1,-1
01061527,8,7.75,3.6,7.5,3.5,7,-1,-1,-1
01061528,8.4,5.75,3,5.25,6.25,7,-1,-1,-1
01061529,6,7,3.2,7.75,2.75,6.25,-1,-1,-1
01061530,8,7.5,6.25,-1,-1,-1,7.25,8.2,9
01061531,6.4,7.25,4.2,5.5,3.25,6.25,-1,-1,-1
01061532,8.4,8.75,3.8,7.5,3.75,7,-1,-1,-1
01061533,8.2,8.25,3.6,8.5,4.5,5.75,-1,-1,-1
01061534,8.6,9,6.2,8.75,4.25,7.5,-1,-1,-1
01061535,8.6,7.75,7.2,8.25,6.5,7.25,-1,-1,-1
01061536,8,7,6.6,8,4.75,8.25,-1,-1,-1
01061537,7,3.75,2.8,6,3,5.5,-1,-1,-1
01061538,7.2,7.5,4,6.5,6.5,7.25,-1,-1,-1
01061539,8.4,5,5.4,8,4.25,7,-1,-1,-1
01061540,8.4,8.25,7.6,9.25,6.25,6.25,-1,-1,-1
01061541,8.8,7.75,5.8,6.75,3.5,7,-1,-1,-1
01061542,6.8,6.75,3.6,7.75,3,6.75,-1,-1,-1
01061543,7.8,6.75,4.4,7,4,7.25,-1,-1,-1
01061544,3.4,2,2.8,2.25,3.25,5.25,-1,-1,-1
01061545,7.6,5.75,5.4,7.25,4,6.5,-1,-1,-1
01061546,8,8.25,5.6,8.25,4.5,8,-1,-1,-1
01061547,8.6,3.5,5.6,7.75,3.75,6.75,-1,-1,-1
01061548,8.6,7.25,4.6,6.5,5,6.75,-1,-1,-1
01061549,8.6,7.25,2.4,6,4,7.25,-1,-1,-1
01061550,8.8,5.5,6.8,7.5,4.25,5.25,-1,-1,-1
01061551,7.8,8,6.5,-1,-1,-1,7.5,8.8,8.25
01061552,7,7.5,2.8,6.5,5.5,4.75,-1,-1,-1
01061553,7,6.5,7.5,-1,-1,-1,6.5,6.6,8.75
01061554,8.8,6.75,4.4,4.75,4.75,6.75,-1,-1,-1
01061555,7.4,8.75,4,3,3.75,5.25,-1,-1,-1
01061556,6.2,6,8,-1,-1,-1,7.75,5.4,7.75
01061557,9.4,3.25,8.2,8.75,5,6.25,-1,-1,-1
01061558,8.8,7,4.4,7.75,6,6.5,-1,-1,-1
01061559,9.6,9.5,8.2,9.5,4.75,7,-1,-1,-1
01061560,8.6,7.75,4.6,9,3.5,8,-1,-1,-1
01061561,8.2,6.75,3.4,6.25,4,5.25,-1,-1,-1
01061562,8.4,7.75,5.2,7.75,4,5.75,-1,-1,-1
01061563,8.6,9.25,3.6,8.25,3.75,7,-1,-1,-1
01061564,6.8,5,3.2,6.75,3.75,4,-1,-1,-1
01061565,8.2,8,4.8,8,4,6.75,-1,-1,-1
01061566,9.2,8.5,4.4,8.75,2,7.25,-1,-1,-1
01061567,8.4,3.5,7.6,7,3.5,5.25,-1,-1,-1
01061568,8.4,4.5,6,8,4.25,6,-1,-1,-1
01061569,7.2,5.5,4.8,6.75,5,5.5,-1,-1,-1
01061570,8.2,8,3.6,8.5,4,7.75,-1,-1,-1
01061571,5.8,7.25,-1,-1,-1,-1,6.75,7,6.75
01061572,8.2,5.25,4.6,5.25,2.5,7.5,-1,-1,-1
01061573,8.8,8,5,7.5,3.5,8,-1,-1,-1
01061574,6,9,8,-1,-1,-1,7.5,8.4,9
01061575,3.4,7.5,8.75,-1,-1,-1,5.5,3.6,7.25
01061576,6.2,8,6.75,-1,-1,-1,6.25,4.8,7
01061577,5.2,6,3.8,6,3.25,6,-1,-1,-1
01061578,8,7.75,7,9.25,6.75,7.25,-1,-1,-1
01061579,7.6,8.25,3,6.75,5.25,7.75,-1,-1,-1
01061580,6.8,6.25,2.2,6.25,2.75,6.25,-1,-1,-1
01061581,8.8,3,4,7.75,3.5,8.25,-1,-1,-1
01061582,7.8,4,7.2,7.75,5.75,7.25,-1,-1,-1
01061583,7.8,6.25,5.6,6.5,4.5,6.75,-1,-1,-1
01061584,8.2,3.5,6.4,7.75,2.75,8.5,-1,-1,-1
01061585,5.4,4.25,6.4,4.5,2.75,5.25,-1,-1,-1
01061586,8.6,8.75,6,8.75,4.25,6.25,-1,-1,-1
01061587,8,7,4,8,4,5.5,-1,-1,-1
01061588,5.6,5.25,7,-1,-1,-1,7,3.8,7.25
01061589,8,7,7,-1,-1,-1,6.75,6.2,8
01061590,7,6.25,2.2,4.75,2.5,5.25,-1,-1,-1
01061591,7.6,4.5,6.4,7,2.75,7,-1,-1,-1
01061592,8.4,8.5,8.8,9,7.75,7.25,-1,-1,-1
01061593,6.2,3,3.4,4.75,4.75,5.75,-1,-1,-1
01061594,5,6.5,7.75,-1,-1,-1,6.5,3,9
01061595,4,5.25,4.5,-1,-1,-1,5.25,3.2,7.75
01061596,6.6,4.5,7,-1,-1,-1,6,4.2,8.5
01061597,4,3.25,4.25,-1,-1,-1,5.5,2.4,6.75
01061598,3.2,7.25,8.75,-1,-1,-1,7.75,3,7
01061599,8,6.75,5.25,-1,-1,-1,5.25,3.2,5.25
01061600,8,8.25,2.4,7.75,4.5,6.75,-1,-1,-1
01061601,8.4,4,6.2,5.75,3.75,6.5,-1,-1,-1
01061602,7.8,8.25,4.6,8,4.25,5.75,-1,-1,-1
01061603,2.8,3.25,4.75,-1,-1,-1,4.75,2.4,5.75
01061604,5.8,7,7.5,-1,-1,-1,7.25,4.2,7.75
01061605,6.8,7.25,8,-1,-1,-1,6.75,6.6,9.25
01061606,6,6.75,6,-1,-1,-1,7.75,3.4,8.5
01061607,6,7.5,8.5,-1,-1,-1,7.75,4.2,8.5
01061608,8,8.5,4.75,-1,-1,-1,7,7.4,8.5
01061609,8,8.75,6.6,5.75,8,8,-1,-1,-1
01061610,7,8.5,6.25,-1,-1,-1,8,3.8,9.25
01061611,7,8.5,6.75,-1,-1,-1,6.25,6.8,8.75
01061612,8.6,6.75,9.4,9.25,4.75,6.75,-1,-1,-1
01061613,1.2,6.75,6.75,-1,-1,-1,6,4.8,6.75
01061614,6.6,8.25,8.5,-1,-1,-1,7.75,5.4,8.25
01061615,7.4,8.5,7.75,-1,-1,-1,6.25,5.8,7
01061616,8.6,5,8.6,9.25,3.75,7,-1,-1,-1
01061617,8.4,7.5,7.25,-1,-1,-1,7.5,5.6,8.25
01061618,7.8,7,6.5,-1,-1,-1,6.25,3.8,9
01061619,7.2,7.5,8.75,-1,-1,-1,9,2.4,8.25
01061620,8.4,7.75,5.6,8,4.5,7,-1,-1,-1
01061621,8.4,9,7.5,-1,-1,-1,7.5,9.2,9.75
01061622,9,7,5.75,-1,-1,-1,6.75,6,6.75
01061623,7.6,8,6.25,-1,-1,-1,6.75,4,9
01061624,7.6,5.75,8.2,9,4,6.75,-1,-1,-1
01061625,8.6,8.25,5,4.5,5,7.5,-1,-1,-1
01061626,3.8,6.75,5.75,-1,-1,-1,6.5,3.2,6.75
01061627,7.6,8,3.2,4,8.75,8,-1,-1,-1
01061628,7.4,7.75,8.25,-1,-1,-1,6.75,5.2,8
01061629,5.8,7.75,7.75,-1,-1,-1,7,5,7.75
01061630,6,8,7.25,-1,-1,-1,5.75,5,7.5
01061631,6.4,7.75,5.5,-1,-1,-1,6,3,8.75
01061632,3.4,6.75,6.25,-1,-1,-1,6.5,4.8,8.25
01061633,6.8,8.5,6.75,-1,-1,-1,7,6.4,8.5
01061634,7.2,7.25,5.5,-1,-1,-1,7,3.8,8.25
01061635,6.4,9,8.25,-1,-1,-1,8.25,4.8,9
01061636,7.4,7.75,6,-1,-1,-1,7.25,7.2,9
01061637,6.4,6.25,3.25,-1,-1,-1,5.5,6.4,7
01061638,4.6,6.75,4.5,-1,-1,-1,4,3.2,5.5
01061639,4.8,7.5,8.5,-1,-1,-1,8,2.2,8.25
01061640,7.4,6.25,6,-1,-1,-1,6,4.8,7.75
01061641,8,8.5,7.25,-1,-1,-1,6.5,7.8,8.25
01061642,4.6,5.75,5.5,-1,-1,-1,5.75,5,7.5
01061643,8.2,8.75,6,-1,-1,-1,7,5.4,8.5
01061644,7.6,9,7.75,-1,-1,-1,6.5,5.6,8.25
01061645,2.8,7.25,8.25,-1,-1,-1,7,2.4,7.75
01061646,7.6,8,4.6,8,4.75,8,-1,-1,-1
01061647,7.6,6.5,5.25,-1,-1,-1,4.5,6,7.25
01061648,9,6.5,8.6,8.75,3.5,8,-1,-1,-1
01061649,7.8,7.75,3.8,7,2.75,7,-1,-1,-1
01061650,4,7.25,8,-1,-1,-1,5.75,7.8,7.75
01061651,9,8.5,6.8,6,4.25,5.75,-1,-1,-1
01061652,4.2,8.5,9,-1,-1,-1,9.25,2.6,9.5
01061653,7,6.25,6.25,-1,-1,-1,7.5,2.2,9
01061654,6,5,7,-1,-1,-1,7.25,3.2,7
01061655,6.4,6,7.5,-1,-1,-1,7,2.4,9
01061656,7.6,5.5,4.75,-1,-1,-1,7.5,2.8,6.5
01061657,8.2,7,3,7.75,3.5,7.5,-1,-1,-1
01061658,6.6,6.25,7.75,-1,-1,-1,7.25,3,7
01061659,8.4,5.25,3.4,5.25,4.25,7.25,-1,-1,-1
01061660,7.2,6.25,7.25,-1,-1,-1,8.5,4.6,7.5
01061661,6.8,6,7.75,-1,-1,-1,7.75,2.6,7.25
01061662,7,8.5,8.5,-1,-1,-1,8,2.6,7.5
01061663,7.2,7.5,6.5,-1,-1,-1,8,6.4,7.25
01061664,5.8,4.75,6.4,5.75,2.5,6,-1,-1,-1
01061665,6.6,6.5,4.5,-1,-1,-1,6,3.6,6.75
01061666,7.2,5.5,7.75,-1,-1,-1,6.5,1.2,7.75
01061667,3,5,6.25,-1,-1,-1,4.5,3.4,6.75
01061668,6.8,6.75,4.5,-1,-1,-1,5.5,4.6,6.75
01061669,6,3.25,2.5,-1,-1,-1,4,2.2,5
01061670,6.4,5.25,6.25,-1,-1,-1,7.75,3.4,9.25
01061671,5,7,6.25,-1,-1,-1,5.5,3.4,7.25
01061672,5.8,6.25,6.25,-1,-1,-1,6.5,3.6,8
01061673,8.8,6.75,8.2,7.75,5,7,-1,-1,-1
01061674,7.6,7.5,7.75,-1,-1,-1,5.75,3.4,8.25
01061675,5.6,4.5,4.5,-1,-1,-1,4.75,2.8,7.25
01061676,7.8,8.25,5,4.75,6.5,8,-1,-1,-1
01061677,7.4,7.5,6,-1,-1,-1,5.5,3.8,8.75
01061678,8.2,8.5,5.5,-1,-1,-1,5.5,4.8,8.5
01061679,5.4,7.75,5.75,-1,-1,-1,5.75,3,7.75
01061680,7,8,5.25,-1,-1,-1,7,3.6,8
01061681,7.6,8.5,8.5,-1,-1,-1,8.5,4,9.75
01061682,7.6,4.75,2.8,6.5,5,7,-1,-1,-1
01061683,4.4,8,7.25,-1,-1,-1,7.25,3.2,8
01061684,6.8,5.5,5.5,-1,-1,-1,7.5,3.4,8.25
01061685,3.2,7.5,5,-1,-1,-1,6.75,4,8
01061686,6.2,7.25,6.25,-1,-1,-1,6,4.4,7.75
01061687,6,7.25,7.75,-1,-1,-1,6.75,3.8,8.25
01061688,7.2,9,6.75,-1,-1,-1,6.5,8.8,7.75
01061689,8.4,4,8.4,9.25,3,6.5,-1,-1,-1
01061690,3.6,6.5,4,-1,-1,-1,7.5,4.8,7.75
01061691,8,8.5,6,-1,-1,-1,6,5.4,8.25
01061692,7.6,8.5,7.75,-1,-1,-1,8,4.8,8.25
01061693,6.4,6.75,7.75,-1,-1,-1,7.25,2,8.5
01061694,6.2,7,5.75,-1,-1,-1,5.25,3.8,7
01061695,6.8,8,8,-1,-1,-1,6.25,7.2,8
01061696,8.4,8.5,7.75,-1,-1,-1,7.75,4.8,8.5
01061697,5,5.25,5.25,-1,-1,-1,6,4,7.75
01061698,8.6,8,8.25,-1,-1,-1,7,9.4,9.5
01061699,7.8,9.25,8.25,-1,-1,-1,6.5,8.4,9.25
01061700,5.4,5.5,5,-1,-1,-1,5.25,3,7.75
01061701,3.8,8.25,7.5,-1,-1,-1,8.25,3,8.25
01061702,4,7.5,7.5,-1,-1,-1,7.25,2.4,7.5
01061703,4.6,8.5,9,-1,-1,-1,8.25,3.2,8.5
01061704,5.8,6.75,6.5,-1,-1,-1,7.5,5.2,8.5
01061705,3.6,7.75,8,-1,-1,-1,7.75,5.2,7.75
01061706,8.6,6.5,3,7.5,5.75,8,-1,-1,-1
01061707,7.4,7.75,4,8.25,4.75,7.25,-1,-1,-1
01061708,6.8,8,7.75,-1,-1,-1,7.75,4,9.5
01061709,5.6,6.25,2.8,4.5,4,6.5,-1,-1,-1
01061710,6.4,7.75,8.25,-1,-1,-1,6.5,3.4,9.5
01061711,7.6,7.5,8.25,-1,-1,-1,7.5,5.4,9.5
01061712,8.4,7.5,6.5,-1,-1,-1,6.25,5.6,8.25
01061713,7.2,8,7.25,-1,-1,-1,7,4.8,9.5
01061714,6.8,6.75,6.4,4.75,7,6.75,-1,-1,-1
01061715,7.2,8.25,8.25,-1,-1,-1,8.25,5.6,8.5
01061716,6.4,7.25,4.75,-1,-1,-1,5,3.6,8.5
01061717,7.2,6.75,2.6,5.75,3.25,6.75,-1,-1,-1
01061718,7.6,6.75,8.25,-1,-1,-1,7.75,3.6,8.75
01061719,3.6,6,8,-1,-1,-1,6.5,2.2,6.75
01061720,7.8,7.75,5.6,7,5.25,6,-1,-1,-1
01061721,4.8,8.5,8.75,-1,-1,-1,8,8.6,9
01061722,6.8,5.25,4.25,-1,-1,-1,5.75,3.4,6
01061723,2.8,2.25,3,-1,-1,-1,4.5,2.2,4.25
01061724,8.8,8,4,8.25,1.75,6,-1,-1,-1
01061725,6.2,6.25,7.75,-1,-1,-1,7.25,3.6,8.25
01061726,8.4,5.5,4,6,5,6.5,-1,-1,-1
01061727,5,7.25,7.25,-1,-1,-1,7.75,5.2,8.75
01061728,4.6,4.75,5.5,-1,-1,-1,6.25,2.6,6
01061729,5,4.75,3.25,-1,-1,-1,6,2,6.5
01061730,4,6.75,7.25,-1,-1,-1,7,3.4,8.5
01061731,6.6,6,9.5,-1,-1,-1,8.75,4,9
01061732,8.2,8.75,7.25,-1,-1,-1,5.5,8.6,8
01061733,6.6,6.25,6.5,-1,-1,-1,6.25,5.4,7.5
01061734,8.6,8.75,8.75,-1,-1,-1,7.5,3.6,9.5
01061735,7.2,5.5,7.5,-1,-1,-1,6.5,5.4,6.75
01061736,6,6,5.25,-1,-1,-1,4.25,2.8,7.25
01061737,6,5.75,6,-1,-1,-1,5.75,4.8,8.25
01061738,7.4,7.5,8.25,-1,-1,-1,8,5.8,8.75
01061739,7,7.25,7.25,-1,-1,-1,8,2.8,8.5
01061740,3.4,6.5,3.75,-1,-1,-1,6.25,3.4,7.75
01061741,3.8,6.75,6.5,-1,-1,-1,5.5,2.6,8.5
01061742,8,6.5,4.75,-1,-1,-1,6.25,2.4,7
01061743,6,6.25,5,-1,-1,-1,6.5,2,7.25
01061744,8,5.25,5.75,-1,-1,-1,5.5,2.8,7.5
01061745,3.8,6.25,5.75,-1,-1,-1,4.75,3.2,7.25
01061746,2.4,5.75,4,-1,-1,-1,4.75,3.4,5.5
01061747,5.6,7.25,8.25,-1,-1,-1,6.75,3.4,8.5
01061748,2.4,6,4.5,-1,-1,-1,7.25,1.6,6.75
01061749,4.4,5.75,7.5,-1,-1,-1,7.5,3.8,8
01061750,5,4.5,8,-1,-1,-1,6.25,2,7.75
01061751,7,7.25,3.5,-1,-1,-1,5.75,5.8,8
01061752,7.8,8.5,8,-1,-1,-1,8.75,6.4,9.5
01061753,6.6,8.25,6.5,-1,-1,-1,6.5,3.6,8.75
01061754,7.4,8,7.75,-1,-1,-1,6.25,4.8,8.5
01061755,7.6,8.75,8.25,-1,-1,-1,5.5,7,8
01061756,5.2,9,8.5,-1,-1,-1,9.25,5.4,8.5
01061757,6.8,6.75,8.25,-1,-1,-1,7.5,3.4,8.5
01061758,6.2,7.75,8.5,-1,-1,-1,7.25,2.8,7.75
01061759,7.6,7.75,6,-1,-1,-1,7.25,6.4,7.5
01061760,6.6,8.5,6.5,-1,-1,-1,7.25,8.2,8.5
01061761,2,7.5,4.25,-1,-1,-1,7,3.4,7.5
01061762,6.2,6.75,4.75,-1,-1,-1,5,5,6.5
01061763,6.8,9,6.25,-1,-1,-1,6.25,8,7.75
01061764,8,8.75,6.75,-1,-1,-1,6.5,5.8,8.5
01061765,7.8,8,8,-1,-1,-1,6.5,7.8,9.5
01061766,4.4,5.75,5.25,-1,-1,-1,6,1.8,6.5
01061767,7.2,7.25,7.75,-1,-1,-1,7.5,3.8,8.25
01061768,7,8,4.75,-1,-1,-1,5.75,2.8,5.75
01061769,6.4,8.75,2,-1,-1,-1,5.25,5.6,5.5
01061770,7,6.75,5,-1,-1,-1,5.5,3.2,7
01061771,4.6,6,5,-1,-1,-1,5,3.2,6.75
01061772,6.8,4.5,7.75,-1,-1,-1,8.25,3.8,8.5
01061773,8.2,7.25,7.75,-1,-1,-1,6.25,8.8,9.25
01061774,3.6,6.75,8.5,-1,-1,-1,8,3.2,8.5
01061775,3.8,6,8.25,-1,-1,-1,7,2.2,8
01061776,3.4,5.75,4.5,-1,-1,-1,7,3,8
01061777,3,5,6.75,-1,-1,-1,6.25,2.2,6.5
01061778,5.6,7,5,-1,-1,-1,6.5,3.8,8.5
01061779,7.2,5.5,8.25,-1,-1,-1,7.75,4.6,8.25
01061780,2.8,5,4.75,-1,-1,-1,6,2.2,7.25
01061781,7.8,8,8.25,-1,-1,-1,7.75,5.2,7.75
01061782,5.4,5.75,5.25,-1,-1,-1,7,3.2,7.25
01061783,1.4,6.75,3.75,-1,-1,-1,5.75,2.6,5.75
01061784,6.4,7,7.25,-1,-1,-1,7.25,4,8
01061785,7.6,9,8.75,-1,-1,-1,7.75,7.6,8.75
01061786,7.8,8.75,9.5,-1,-1,-1,8.5,5.4,9.25
01061787,6.2,5.75,5,-1,-1,-1,5,3.8,6.5
01061788,7,6,8.25,-1,-1,-1,6,3.8,8.25
01061789,8.2,9,7.75,-1,-1,-1,6,8,8.75
01061790,4.4,8,7,-1,-1,-1,7.25,2.2,8
01061791,8.6,8.5,8.5,-1,-1,-1,5.5,8.6,9
01061792,6.4,6.25,5.5,-1,-1,-1,5.25,3,5.25
01061793,7.2,7.25,6.5,-1,-1,-1,5.25,4.2,8.25
01061794,2.4,6.5,5.5,-1,-1,-1,5,2.6,6.75
01061795,5.2,8.25,7,-1,-1,-1,6.75,4.2,8
01061796,8,8.25,9.25,-1,-1,-1,7.25,2.6,8.75
01061797,5,6.5,3.75,-1,-1,-1,4.75,4,5.5
01061798,2,5.25,5.25,-1,-1,-1,5.75,1.8,7
01061799,5.8,6.5,5.25,-1,-1,-1,5,2.4,7.5
01061800,7,7,7.25,-1,-1,-1,7.25,4.8,9
01061801,8.6,9,7,-1,-1,-1,7.5,9,8.25
01061802,5.2,5.75,5.75,-1,-1,-1,7,3.2,8.75
01061803,8.8,9.25,9,-1,-1,-1,8,8,9.5
01061804,-1,5.5,-1,-1,-1,-1,5.5,6.75,-1
01061805,2,6.5,6,-1,-1,-1,5.25,4.8,7.5
01061806,8.2,8.75,8.5,-1,-1,-1,8,9,9
01061807,8,6.75,8.5,-1,-1,-1,8,5.4,9.5
01061808,6.6,9,7.5,-1,-1,-1,7.25,8.6,9
01061809,7,8.25,8.75,-1,-1,-1,9.25,5,8.25
01061810,5.8,7.25,7.25,-1,-1,-1,5.75,2.8,7.5
01061811,7.2,6.5,6.25,-1,-1,-1,6.25,3,8.5
01061812,7.4,7.5,8.25,-1,-1,-1,7.25,6,8.25
01061813,7.2,7.25,7,-1,-1,-1,7,5,7.25
01061814,7.6,8.75,8,-1,-1,-1,8,4.8,8
01061815,8,8,5.25,-1,-1,-1,5.25,6.8,6
01061816,5.4,7.5,5.75,-1,-1,-1,6,3.2,7.5
01061817,3.6,6,8.25,-1,-1,-1,7.5,3.2,6.25
01061818,7.4,7.25,6.25,-1,-1,-1,6.25,4.6,7.75
01061819,7.2,6.5,7.25,-1,-1,-1,7,3.2,8.5
01061820,5,8,9,-1,-1,-1,7.5,4,7.75
01061821,3.6,5.25,4.75,-1,-1,-1,5.25,2.8,6.75
01061822,6.8,6,4,-1,-1,-1,7,3.2,7.75
01061823,3.2,5.5,5.25,-1,-1,-1,7,3.8,7
01061824,7.6,8.25,8,-1,-1,-1,8,6.8,8.75
01061825,3.6,8,2.75,-1,-1,-1,4,3,6.25
01061826,5,7.25,4.25,-1,-1,-1,6.5,4.6,7.25
01061827,5.6,6,4.25,-1,-1,-1,5.25,2.6,7.5
01061828,3.4,4.5,3.75,-1,-1,-1,4.75,2.4,5.75
01061829,1.6,6.75,6,-1,-1,-1,6.75,3.6,6.5
01061830,7.4,7.5,8.25,-1,-1,-1,8.5,7.2,9
01061831,2.8,7.75,5.5,-1,-1,-1,7.25,2.6,7.5
01061832,6,6,8,-1,-1,-1,5.5,3.6,7
01061833,3.6,7,7.5,-1,-1,-1,5.75,1.8,6.75
01061834,2.6,6.75,7,-1,-1,-1,7.5,1.6,7
01061835,-1,7,-1,-1,-1,-1,7.25,8.5,-1
01061836,3.2,7,9.25,-1,-1,-1,9.25,3.6,8.25
01061837,5.2,4.75,5.5,-1,-1,-1,6.25,1.8,7.25
01061838,4.8,6,7.25,-1,-1,-1,6.75,3.2,7.75
01061839,7.2,7.5,4.25,-1,-1,-1,5.75,2.8,7
01061840,6.6,8.25,7.5,-1,-1,-1,7.25,3,7.75
01061841,7.2,6.25,8.75,-1,-1,-1,7.5,3.6,8.5
01061842,4.8,5.5,8.5,-1,-1,-1,7.5,3.2,7.5
01061843,5.4,6.25,8.25,-1,-1,-1,8,3.4,8.75
01061844,5.8,8.25,8.5,-1,-1,-1,7,8,8.5
01061845,5.8,5.75,6,-1,-1,-1,5.75,3.2,7.75
01061846,4.2,5.75,5.25,-1,-1,-1,5.25,3.2,6.25
01061847,4.4,7.25,7.5,-1,-1,-1,6.25,2.4,8
01061848,-1,6.5,-1,-1,-1,-1,6,6,-1
01061849,5.8,6.5,6.5,-1,-1,-1,6,5.2,8
01061850,5,6.5,8,-1,-1,-1,7,5.4,8.75
01061851,6,7,8.75,-1,-1,-1,7.5,4,9.25
01061852,8.4,8.5,8.5,-1,-1,-1,7.25,8.4,8.5
01061853,7.4,8.25,7.5,-1,-1,-1,6.75,9.4,9
01061854,6.6,7,7.5,-1,-1,-1,7.25,5,9.5
01061855,8,8,6.25,-1,-1,-1,6.75,3.4,8.25
01061856,2.4,7.5,8.25,-1,-1,-1,7.25,2.8,7.75
01061857,3.6,6.25,5.25,-1,-1,-1,6.25,2,7.25
01061858,6.8,6.75,6.75,-1,-1,-1,6.5,5.2,8.25
01061859,3.4,6.25,6,-1,-1,-1,7.5,7.4,7.5
01061860,3.2,8.25,8.5,-1,-1,-1,8,4.2,7.75
01061861,7.6,6,8.5,-1,-1,-1,6.75,5.6,8.25
01061862,5.2,5.75,7,-1,-1,-1,6.25,5,6.75
01061863,6.8,5.25,6.5,-1,-1,-1,6.75,3.6,8.5
01061864,4,6.5,4.5,-1,-1,-1,7.25,2.8,7
01061865,8.6,4.5,5.25,-1,-1,-1,7.25,4,8.75
01061866,5.4,8.25,9.25,-1,-1,-1,9,2.2,8.75
01061867,5.6,5.75,4.5,-1,-1,-1,5.5,2.8,5.5
01061868,8,8.25,4.75,-1,-1,-1,7.5,3.4,7.25
01061869,8.6,7.25,5.5,-1,-1,-1,5.75,4,8
01061870,6.2,8.25,5.5,-1,-1,-1,6,4.2,8.25
01061871,7,5.5,6.75,-1,-1,-1,5.5,2,7.5
01061872,-1,-1,-1,-1,-1,-1,-1,4.75,-1
01061873,7,6,5.75,-1,-1,-1,5.25,6.6,7.25
01061874,3.6,6,6.25,-1,-1,-1,4.5,6.8,7.5
01061875,5.2,5.25,6.5,-1,-1,-1,6.75,3.4,7.25
